Experiment,Algorithm,Hidden Units,Learning Rate,Epochs,L2 Lambda,Train/Test Split,Rows Used,Features Used,Training R2,Testing R2,Training RMSE,Testing RMSE,Testing MAE,Testing R2 Percent
1,Manual Neural Network / MLP,16,0.01,2500,0.001,80/20,12126,41,0.6155,0.6154,117276.47,118920.79,79976.59,61.54%
2,Manual Neural Network / MLP,16,0.02,2500,0.001,80/20,12126,41,0.6524,0.653,111519.78,112969.63,75234.27,65.3%
3,Manual Neural Network / MLP,16,0.03,2500,0.001,80/20,12126,41,0.6623,0.6632,109921.68,111292.24,74165.96,66.32%
4,Manual Neural Network / MLP,16,0.04,2500,0.001,80/20,12126,41,0.6599,0.6632,110309.2,111293.51,72128.8,66.32%
5,Manual Neural Network / MLP,16,0.05,2500,0.001,80/20,12126,41,0.6623,0.6657,109917.25,110885.66,71633.54,66.57%
6,Manual Neural Network / MLP,24,0.01,2500,0.001,80/20,12126,41,0.6224,0.6294,116222.1,116747.3,78501.34,62.94%
7,Manual Neural Network / MLP,24,0.02,2500,0.001,80/20,12126,41,0.6584,0.6649,110555.47,111011.92,74166.65,66.49%
8,Manual Neural Network / MLP,24,0.03,2500,0.001,80/20,12126,41,0.6695,0.6747,108733.68,109382.72,73011.45,67.47%
9,Manual Neural Network / MLP,24,0.04,2500,0.001,80/20,12126,41,0.667,0.6726,109152.59,109735.02,71276.81,67.26%
10,Manual Neural Network / MLP,24,0.05,2500,0.001,80/20,12126,41,0.6706,0.6724,108551.41,109768.39,76582.95,67.24%
11,Manual Neural Network / MLP,32,0.01,2500,0.001,80/20,12126,41,0.6137,0.6131,117553.01,119289.89,80368.96,61.31%
12,Manual Neural Network / MLP,32,0.02,2500,0.001,80/20,12126,41,0.6555,0.654,111023.89,112800.34,75220.83,65.4%
13,Manual Neural Network / MLP,32,0.03,2500,0.001,80/20,12126,41,0.6665,0.6655,109226.66,110917.91,73942.94,66.55%
14,Manual Neural Network / MLP,32,0.04,2500,0.001,80/20,12126,41,0.6703,0.6689,108607.03,110346.71,74958.04,66.89%
15,Manual Neural Network / MLP,32,0.05,2500,0.001,80/20,12126,41,0.6709,0.6688,108513.97,110360.24,76067.7,66.88%
16,Manual Neural Network / MLP,48,0.01,2500,0.001,80/20,12126,41,0.6272,0.631,115483.77,116489.24,78583.47,63.1%
17,Manual Neural Network / MLP,48,0.02,2500,0.001,80/20,12126,41,0.6639,0.6677,109660.11,110539.96,73728.04,66.77%
18,Manual Neural Network / MLP,48,0.03,2500,0.001,80/20,12126,41,0.6752,0.6767,107796.94,109030.26,72595.04,67.67%
19,Manual Neural Network / MLP,48,0.04,2500,0.001,80/20,12126,41,0.6767,0.6747,107547.78,109383.02,75595.36,67.47%
20,Manual Neural Network / MLP,48,0.05,2500,0.001,80/20,12126,41,0.6792,0.6757,107129.87,109199.61,75911.87,67.57%
21,Manual Neural Network / MLP,64,0.01,2500,0.001,80/20,12126,41,0.6284,0.6343,115302.42,115962.25,77721.0,63.43%
22,Manual Neural Network / MLP,64,0.02,2500,0.001,80/20,12126,41,0.6626,0.6667,109860.5,110703.66,73484.76,66.67%
23,Manual Neural Network / MLP,64,0.03,2500,0.001,80/20,12126,41,0.673,0.6747,108162.14,109367.31,72582.4,67.47%
24,Manual Neural Network / MLP,64,0.04,2500,0.001,80/20,12126,41,0.6725,0.672,108240.96,109821.61,71118.21,67.2%
25,Manual Neural Network / MLP,64,0.05,2500,0.001,80/20,12126,41,0.6757,0.6721,107708.8,109811.37,76186.47,67.21%
